name,clean_name,fish + macros,fish,macros
b_p_da_s,DA,"0.05 (-0.01, 0.09)","0.07 (0, 0.13)","0.06 (-0.01, 0.12)"
b_p_ag_s,% Agriculture,"0.01 (-0.04, 0.06)","0.05 (-0.02, 0.11)","0.01 (-0.05, 0.08)"
b_p_slope_std_s,Slope SD,"0.02 (-0.03, 0.07)","0.05 (-0.02, 0.11)","0.03 (-0.03, 0.1)"
b_fishmacros_omnivore_s,% Omnivore Biomass,"0.02 (-0.05, 0.09)","-0.06 (-0.13, 0.02)","0.02 (-0.04, 0.07)"
b_fishmacros_predator_s,% Predator Biomass,"0.01 (-0.06, 0.08)","-0.05 (-0.13, 0.02)","0.01 (-0.05, 0.06)"
b_fishmacros_herbivore_s,% Herbivore Biomass,"0.01 (-0.07, 0.08)","-0.05 (-0.13, 0.04)","0 (-0.06, 0.06)"
b_p_watershedn_s,Watershed Size Class,"-0.02 (-0.08, 0.04)","-0.01 (-0.08, 0.07)","-0.03 (-0.12, 0.07)"
b_p_elva_std_s,Elevation SD,"-0.02 (-0.08, 0.04)","-0.03 (-0.11, 0.04)","-0.03 (-0.1, 0.06)"
