species,scientific,trophic
sand shiner,Notropis stramineus,Omnivore
bluntnose minnow,Pimephales notatus,Omnivore
banded darter,Etheostoma zonale,Predator
river chub,Nocomis micropogon,Omnivore
variegate darter,Etheostoma variatum,Predator
creek chub,Semotilus atromaculatus,Omnivore
silverjaw minnow,Ericymba buccata,Omnivore
rosyface shiner,Notropis rubellus,Omnivore
central stoneroller,Campostoma anomalum,Herbivore
moxostoma sp.,Moxostoma sp.,Omnivore
mimic shiner,Notropis volucellus,Omnivore
fantail darter,Etheostoma flabellare,Predator
bluegill,Lepomis macrochirus,Omnivore
silver shiner,Notropis photogenis,Omnivore
white sucker,Catostomus commersonii,Omnivore
blackside darter,Percina maculata,Predator
spotfin shiner,Cyprinella spiloptera,Omnivore
greenside darter,Etheostoma blennioides,Predator
smallmouth bass,Micropterus dolomieu,Predator
rainbow darter,Etheostoma caeruleum,Predator
johnny darter,Etheostoma nigrum,Predator
largemouth bass,Micropterus salmoides,Predator
northern hogsucker,Hypentelium nigricans,Omnivore
stonecat madtom,Noturus flavus,Predator
striped shiner,Luxilus chrysocephalus,Omnivore
river chub x sand shiner,Nocomis micropogon x Notropis stramineus,Omnivore
blacknose dace,Rhinichthys atratulus,Omnivore
rock bass,Ambloplites rupestris,Predator
logperch,Percina caprodes,Predator
gizzard shad,Dorosoma cepedianum,Omnivore
green sunfish,Lepomis cyanellus,Omnivore
rosyside dace,Clinostomus funduloides,Omnivore
longnose dace,Rhinichthys cataractae,Omnivore
mottled sculpin,Cottus bairdii,Predator
spotted bass,Micropterus punctulatus,Predator
redbreast sunfish,Lepomis auritus,Omnivore
yellow bullhead,Ameiurus natalis,Omnivore
longnose gar,Lepisosteus osseus,Predator
brook silverside,Labidesthes sicculus,Omnivore
mosquitofish,Gambusia affinis,Predator
common carp,Cyprinus carpio,Omnivore
river chub x ?,Nocomis micropogon x ?,Omnivore
least brook lamprey,Lampetra aepyptera,Herbivore
longnose dace x river chub,Rhinichthys cataractae x Nocomis micropogon,Omnivore
striped shiner x rosyface shiner,Luxilus chrysocephalus x Notropis rubellus,Omnivore
smallmouth buffalo,Ictiobus bubalus,Omnivore
rosyface shiner x striped shiner,Notropis rubellus x Luxilus chrysocephalus,Omnivore
longear sunfish,Lepomis megalotis,Omnivore
green sunfish x ?,Lepomis cyanellus x ?,Omnivore
brindled madtom,Noturus miurus,Predator
freshwater drum,Aplodinotus grunniens,Omnivore
white bass,Morone chrysops,Predator
brook trout,Salvelinus fontinalis,Predator
black crappie,Pomoxis nigromaculatus,Predator
white crappie,Pomoxis annularis,Predator
sharpnose darter,Percina oxyrhynchus,Predator
pumpkinseed,Lepomis gibbosus,Omnivore
striped shiner x ?,Luxilus chrysocephalus x ?,Omnivore
bluegill x ?,Lepomis macrochirus x ?,Omnivore
golden redhorse,Moxostoma erythrurum,Omnivore
black redhorse,Moxostoma duquesnei,Omnivore
silver redhorse,Moxostoma anisurum,Omnivore
ohio lamprey,Ichthyomyzon bdellium,Predator (parasitic)
smallmouth redhorse,Moxostoma breviceps,Omnivore
brown trout,Salmo trutta,Predator
golden rainbow trout,Oncorhynchus mykiss (color variant),Predator
tiger trout,Salmo trutta x Salvelinus fontinalis,Predator
flathead catfish,Pylodictis olivaris,Predator
channel catfish,Ictalurus punctatus,Omnivore
sauger,Sander canadensis,Predator
rainbow trout,Oncorhynchus mykiss,Predator
